"group","violations"
"Environment","0"
"Language extensions","977"
"Documentations","0"
"Character sets","336"
"Identifiers","59450"
"Types","1983"
"Constants","80"
"Declarations and definitions","10415"
"Initialization","50"
"Arithmetic type conversions","4489"
"Pointer type conversions","0"
"Expressions ","0"
"Control statement expressions","25"
"Control flow","2025"
"Switch statements","0"
"Functions","1316"
"Pointers and arrays","11"
"Structures and unions","60"
"Preprocessing directives","3679"
"Standard libraries","811"
"Standard libraries ","5"
"Run-time failures","0"
"Unknown","333"
